category,quantity,storage,prep_hour,temp,humidity,safe_hours
Bakery,8,Freezer,12,26,41,34.79
Bakery,9,Fridge,8,10,76,20.77
Bakery,3,Freezer,17,23,50,31.14
Bakery,5,Freezer,9,33,68,22.5
Cooked,8,Freezer,11,33,32,11.23
Bakery,7,Freezer,8,8,34,61.78
Bakery,9,Fridge,23,15,90,13.82
Packaged,8,Freezer,1,13,34,89.61
Packaged,6,Fridge,12,7,68,47.62
Bakery,6,Fridge,14,9,66,22.26
Bakery,6,Fridge,20,22,45,29.6
Cooked,3,Freezer,15,38,54,11.26
Cooked,5,Fridge,22,33,43,7.76
Bakery,8,Freezer,6,12,38,55.63
Bakery,8,Room,2,25,72,11.81
Cooked,9,Freezer,9,24,84,5.73
Packaged,3,Freezer,11,37,44,46.8
Cooked,4,Room,15,6,53,7.89
Bakery,9,Fridge,4,10,34,29.5
Packaged,8,Freezer,16,31,79,39.18
Packaged,3,Room,10,9,58,47.69
Packaged,3,Fridge,17,16,79,58.64
Bakery,1,Freezer,3,38,39,29.91
Cooked,4,Fridge,11,38,87,3.3
Cooked,4,Fridge,20,40,47,4.44
Bakery,9,Freezer,2,37,71,16.36
Packaged,3,Room,21,26,83,27.23
Cooked,2,Room,1,21,71,3.76
Packaged,10,Fridge,20,6,61,59.67
Packaged,5,Fridge,15,20,81,37.98
Bakery,8,Fridge,2,8,40,31.22
Bakery,4,Fridge,10,14,50,33.88
Bakery,6,Freezer,12,13,78,31.25
Packaged,6,Room,7,34,37,26.0
Cooked,2,Room,1,23,90,3.49
Packaged,4,Fridge,5,25,89,35.44
Bakery,3,Room,15,37,59,12.03
Bakery,1,Fridge,2,30,62,14.61
Cooked,10,Room,11,8,33,7.06
Packaged,8,Freezer,9,39,30,69.45
Bakery,5,Room,23,28,78,12.75
Cooked,1,Fridge,18,40,42,5.64
Bakery,7,Room,16,33,78,9.22
Packaged,10,Freezer,3,13,36,92.67
Bakery,6,Freezer,4,17,68,33.29
Packaged,1,Room,1,13,75,31.71
Bakery,8,Freezer,4,37,38,27.03
Packaged,3,Fridge,12,24,67,40.16
Packaged,8,Freezer,22,24,60,65.42
Bakery,2,Fridge,13,24,80,20.04
Packaged,1,Freezer,19,35,46,67.51
Packaged,4,Freezer,23,8,67,83.1
Packaged,10,Freezer,12,14,82,56.21
Cooked,2,Freezer,6,6,58,15.14
Cooked,4,Fridge,13,37,79,5.09
Bakery,1,Freezer,22,13,63,31.22
Bakery,8,Freezer,16,29,50,41.92
Bakery,6,Freezer,17,27,73,32.31
Packaged,5,Freezer,19,35,42,63.19
Bakery,5,Freezer,7,24,79,26.56
Cooked,8,Freezer,10,35,52,8.46
Packaged,5,Fridge,3,39,54,42.19
Bakery,3,Fridge,9,7,48,41.85
Cooked,8,Fridge,20,21,77,6.25
Cooked,5,Freezer,17,22,38,10.83
Packaged,4,Freezer,7,8,72,97.33
Cooked,4,Freezer,1,11,56,12.65
Bakery,3,Room,0,40,89,6.63
Packaged,8,Fridge,20,17,78,53.99
Bakery,1,Fridge,2,19,64,27.06
Cooked,7,Room,5,7,83,4.39
Bakery,5,Room,1,5,49,23.16
Cooked,5,Fridge,14,39,63,4.64
Cooked,8,Freezer,8,17,81,6.44
Cooked,8,Freezer,20,21,75,7.35
Packaged,5,Fridge,18,17,41,62.49
Packaged,7,Fridge,16,25,35,58.02
Cooked,3,Room,15,25,89,3.1
Bakery,4,Fridge,14,22,51,23.15
Packaged,1,Freezer,8,28,74,58.15
Packaged,8,Room,9,15,55,40.77
Packaged,2,Fridge,20,23,53,57.06
Cooked,8,Room,4,34,77,3.92
Bakery,9,Fridge,15,39,81,11.4
Cooked,10,Room,2,38,58,3.64
Bakery,10,Room,3,8,83,13.71
Packaged,10,Room,17,14,40,34.14
Packaged,2,Fridge,21,18,75,51.87
Cooked,8,Freezer,1,34,38,9.84
Bakery,1,Freezer,17,34,73,24.82
Packaged,7,Room,8,5,77,32.16
Cooked,7,Room,11,9,64,7.71
Cooked,1,Fridge,9,31,41,7.32
Packaged,7,Freezer,11,29,58,84.75
Bakery,2,Fridge,21,39,38,23.5
Bakery,3,Room,17,30,63,8.03
Cooked,1,Room,9,34,73,3.79
Bakery,7,Freezer,7,20,59,33.02
Bakery,2,Room,1,31,69,10.93
Cooked,4,Room,2,11,68,3.58
Packaged,1,Freezer,7,7,55,107.03
Packaged,1,Room,4,37,48,23.11
Packaged,6,Freezer,18,25,45,69.12
Cooked,9,Freezer,7,31,49,6.79
Packaged,3,Freezer,20,32,65,44.04
Bakery,7,Freezer,16,25,74,27.3
Cooked,7,Fridge,5,39,60,3.73
Cooked,3,Fridge,14,8,65,8.74
Bakery,9,Freezer,4,29,45,30.52
Bakery,2,Freezer,14,28,35,46.82
Cooked,5,Room,12,7,85,3.48
Packaged,9,Freezer,6,35,43,57.34
Bakery,1,Fridge,6,17,77,20.31
Bakery,10,Room,22,18,55,20.84
Packaged,5,Fridge,12,34,64,30.87
Bakery,6,Fridge,16,36,59,14.13
Packaged,6,Fridge,6,28,50,49.43
Packaged,3,Room,0,21,65,33.63
Packaged,7,Freezer,9,14,42,79.13
Bakery,4,Freezer,15,40,71,24.95
Bakery,8,Fridge,23,36,59,14.18
Bakery,3,Room,23,39,61,8.27
Packaged,1,Freezer,16,7,83,81.2
Packaged,1,Room,13,13,83,29.05
Cooked,3,Freezer,0,18,62,11.26
Cooked,10,Freezer,15,36,31,6.32
Packaged,1,Fridge,0,38,76,28.23
Bakery,9,Room,22,32,81,8.47
Cooked,2,Room,16,14,45,5.32
Packaged,6,Fridge,8,30,35,40.81
Bakery,10,Fridge,7,19,49,28.55
Cooked,1,Freezer,2,30,54,8.36
Bakery,1,Room,22,15,35,24.47
Bakery,6,Freezer,18,11,87,27.27
Cooked,4,Room,22,35,47,2.75
Cooked,5,Freezer,17,7,41,21.2
Bakery,4,Room,18,14,78,17.79
Bakery,5,Room,5,20,66,15.3
Bakery,9,Freezer,10,29,78,30.32
Packaged,2,Freezer,16,27,33,80.58
Cooked,6,Room,19,30,79,2.7
Packaged,8,Fridge,15,19,52,58.13
Bakery,3,Fridge,21,29,35,34.68
Bakery,2,Room,2,22,39,19.83
Packaged,7,Room,10,28,36,33.69
Bakery,6,Fridge,8,11,38,27.69
Bakery,9,Fridge,17,37,56,13.47
Cooked,9,Fridge,2,25,85,4.67
Bakery,7,Fridge,2,40,87,13.4
Cooked,9,Freezer,5,29,40,8.67
Bakery,8,Fridge,4,9,40,31.14
Bakery,8,Fridge,2,28,46,28.45
Packaged,8,Freezer,19,17,59,70.36
Bakery,7,Room,10,29,81,12.16
Bakery,7,Fridge,20,13,49,25.57
Packaged,8,Room,10,16,55,45.07
Bakery,8,Freezer,18,20,50,32.93
Bakery,2,Fridge,18,17,67,29.42
Cooked,9,Freezer,0,34,90,5.92
Bakery,2,Fridge,13,36,38,23.3
Cooked,3,Fridge,22,32,80,3.59
Bakery,8,Freezer,18,30,64,19.57
Packaged,9,Fridge,1,28,74,45.08
Packaged,2,Freezer,3,20,72,68.24
Cooked,10,Freezer,1,30,78,5.58
Bakery,1,Room,3,21,44,17.81
Packaged,10,Freezer,22,19,58,76.58
Bakery,10,Freezer,22,37,39,26.33
Cooked,2,Fridge,9,31,88,5.19
Cooked,3,Freezer,11,24,51,12.23
Cooked,8,Freezer,11,35,36,9.36
Packaged,6,Fridge,2,24,32,69.05
Cooked,6,Room,20,11,73,6.03
Packaged,9,Room,5,40,40,21.17
Bakery,4,Fridge,12,16,41,31.01
Bakery,1,Fridge,23,17,58,31.84
Bakery,4,Room,6,22,78,14.76
Cooked,2,Freezer,17,16,53,13.02
Bakery,5,Room,21,36,63,11.25
Bakery,7,Freezer,19,30,67,16.44
Bakery,10,Fridge,5,24,88,15.68
Cooked,3,Freezer,10,12,45,12.62
Cooked,3,Fridge,16,29,56,9.15
Packaged,7,Fridge,5,36,70,28.61
Packaged,9,Room,5,36,48,19.44
Bakery,10,Fridge,1,27,90,11.67
Cooked,7,Room,17,37,71,3.0
Packaged,7,Fridge,22,33,61,24.44
Packaged,4,Room,9,7,47,42.35
Bakery,8,Room,18,36,65,8.91
Packaged,5,Room,17,28,64,31.33
Cooked,8,Freezer,17,18,57,9.82
Packaged,5,Room,1,33,46,22.81
Cooked,2,Fridge,7,18,81,7.56
Packaged,10,Fridge,20,32,40,35.02
Cooked,1,Room,18,27,64,4.04
Packaged,6,Room,22,23,48,35.12
Packaged,2,Freezer,4,31,88,29.99
Bakery,3,Freezer,22,13,45,36.65
Bakery,7,Room,15,14,66,15.69
Packaged,7,Fridge,14,9,70,60.78
Cooked,9,Fridge,23,22,74,8.04
Bakery,8,Fridge,10,5,85,23.39
Packaged,8,Room,20,27,84,17.7
Packaged,4,Fridge,13,18,61,44.14
Bakery,9,Fridge,18,13,66,24.85
Bakery,1,Freezer,1,11,70,40.41
Bakery,2,Room,5,33,59,9.51
Bakery,3,Room,20,24,40,20.05
Bakery,6,Room,8,10,53,20.21
Packaged,1,Room,12,24,76,31.91
Cooked,2,Fridge,22,11,30,9.75
Cooked,10,Room,7,38,73,2.75
Cooked,6,Freezer,3,32,74,5.08
Cooked,7,Room,2,11,36,6.49
Bakery,7,Room,4,14,34,22.53
Cooked,3,Freezer,14,27,76,8.16
Packaged,7,Room,19,33,85,13.54
Cooked,2,Room,18,29,52,7.62
Bakery,4,Room,8,10,45,19.92
Packaged,10,Freezer,9,6,84,70.08
Bakery,9,Room,19,37,42,12.1
Bakery,1,Freezer,7,36,54,22.6
Bakery,10,Freezer,2,38,86,18.57
Bakery,3,Fridge,12,31,53,18.42
Cooked,2,Fridge,0,9,30,11.9
Cooked,7,Room,16,23,70,4.9
Bakery,7,Fridge,2,39,64,14.23
Bakery,5,Room,2,37,88,6.58
Cooked,6,Freezer,12,9,49,18.36
Packaged,1,Room,7,10,89,26.89
Bakery,10,Freezer,1,24,72,29.82
Packaged,2,Room,0,13,74,26.92
Bakery,9,Fridge,16,21,40,22.03
Packaged,2,Fridge,0,26,81,34.46
Packaged,5,Room,22,9,61,36.79
Bakery,8,Room,18,15,53,15.44
Cooked,2,Freezer,7,37,30,7.49
Cooked,1,Room,15,28,54,7.57
Cooked,9,Room,22,31,44,3.2
Bakery,6,Freezer,8,9,66,36.72
Packaged,1,Freezer,5,19,81,61.13
Cooked,2,Fridge,14,23,79,8.59
Bakery,9,Room,14,5,53,18.22
Packaged,10,Fridge,7,34,53,34.7
Bakery,9,Room,7,14,30,25.62
Cooked,9,Room,11,5,90,4.05
Packaged,5,Fridge,3,18,63,57.12
Bakery,1,Fridge,4,22,35,25.44
Cooked,7,Freezer,22,28,59,15.55
Cooked,2,Freezer,16,13,70,14.29
Cooked,10,Freezer,1,32,72,8.23
Cooked,5,Fridge,10,30,74,5.69
Bakery,8,Fridge,8,19,34,39.25
Cooked,2,Freezer,4,11,40,14.23
Bakery,2,Fridge,17,27,79,18.23
Bakery,5,Fridge,3,10,40,32.65
Bakery,10,Freezer,1,18,83,29.15
Cooked,4,Room,11,30,62,2.21
Bakery,3,Fridge,0,30,84,11.48
Packaged,4,Freezer,3,34,36,73.06
Cooked,1,Room,1,19,38,6.51
Bakery,2,Fridge,18,21,88,19.39
Cooked,4,Room,20,33,81,1.93
Bakery,1,Room,14,8,40,28.45
Bakery,7,Freezer,15,6,54,51.74
Cooked,4,Fridge,5,22,47,8.16
Cooked,10,Room,19,20,71,3.52
Bakery,8,Freezer,1,10,47,37.99
Bakery,9,Room,7,39,80,5.57
Bakery,6,Freezer,15,39,80,16.28
Packaged,6,Freezer,12,22,41,60.84
Packaged,1,Room,8,8,81,38.79
Packaged,10,Fridge,7,15,36,59.33
Cooked,9,Fridge,23,8,78,11.19
Cooked,7,Freezer,11,16,41,11.2
Bakery,6,Freezer,18,6,75,42.39
Packaged,3,Freezer,18,17,83,70.39
Bakery,5,Freezer,5,36,32,25.17
Cooked,4,Freezer,0,38,60,4.64
Packaged,3,Room,10,16,88,30.01
Bakery,1,Room,4,14,79,13.49
Packaged,2,Fridge,11,30,67,25.68
Bakery,3,Fridge,5,32,80,12.46
Bakery,6,Freezer,5,40,74,23.67
Packaged,4,Fridge,21,16,54,56.11
Packaged,3,Fridge,5,5,90,50.95
Packaged,10,Fridge,1,16,68,40.79
Packaged,10,Room,3,36,39,24.97
Cooked,6,Room,10,15,70,6.31
Cooked,6,Freezer,14,5,46,13.08
Packaged,6,Room,8,11,76,25.13
Bakery,7,Fridge,5,31,61,15.83
Bakery,7,Freezer,3,35,80,18.74
Packaged,4,Freezer,5,33,34,72.94
Cooked,1,Fridge,10,21,90,4.24
Bakery,7,Room,5,9,65,20.82
Cooked,10,Fridge,19,35,75,2.94
Packaged,10,Room,13,15,33,36.97
Cooked,7,Room,22,40,76,3.86
Packaged,5,Fridge,9,20,36,51.19
Packaged,8,Freezer,4,8,53,78.56
Cooked,10,Fridge,15,17,36,7.22
Cooked,5,Freezer,2,35,84,4.13
Bakery,8,Fridge,21,21,35,30.31
Bakery,6,Room,12,28,41,15.99
Bakery,8,Fridge,8,19,83,15.93
Cooked,2,Room,2,27,81,3.89
Packaged,9,Room,1,29,82,21.27
Packaged,8,Freezer,18,20,60,53.41
Bakery,1,Freezer,16,38,81,18.31
Packaged,2,Room,14,16,90,32.46
Cooked,3,Room,1,32,35,6.38
Bakery,3,Room,19,21,50,20.33
Cooked,7,Room,17,30,65,2.66
Bakery,8,Freezer,0,38,80,15.29
Bakery,3,Room,18,11,89,10.6
Cooked,9,Fridge,11,31,46,5.02
Bakery,10,Freezer,15,7,41,40.91
Cooked,10,Freezer,21,30,32,8.77
Bakery,4,Freezer,1,35,88,15.19
Bakery,6,Room,9,24,47,18.88
Packaged,2,Freezer,7,13,49,109.49
Bakery,5,Fridge,23,31,68,14.89
Cooked,4,Fridge,13,36,78,4.79
Bakery,9,Room,5,9,49,22.98
Bakery,9,Room,18,6,41,18.15
Cooked,4,Room,1,34,33,6.06
Packaged,5,Room,11,34,62,18.62
Cooked,1,Freezer,7,28,61,11.05
Cooked,10,Fridge,17,27,52,5.93
Bakery,2,Freezer,9,6,54,41.48
Packaged,4,Room,20,19,73,28.63
Packaged,9,Fridge,0,5,60,61.2
Packaged,10,Room,0,19,46,38.24
Bakery,5,Freezer,13,29,84,22.21
Bakery,8,Room,9,38,82,7.6
Packaged,1,Room,16,28,65,31.29
Packaged,5,Fridge,21,11,60,39.52
Bakery,6,Freezer,8,21,71,31.53
Packaged,4,Fridge,4,38,78,26.53
Cooked,7,Freezer,21,25,73,7.18
Cooked,8,Freezer,9,21,88,7.14
Bakery,1,Freezer,18,17,51,49.37
Cooked,9,Freezer,20,35,88,6.72
Bakery,5,Freezer,5,40,41,23.29
Bakery,5,Room,23,40,78,11.03
Packaged,2,Fridge,7,27,44,59.89
Bakery,6,Fridge,11,21,67,17.86
Cooked,1,Fridge,20,9,60,12.06
Packaged,7,Room,16,24,56,27.58
Cooked,4,Room,10,31,66,3.99
Bakery,6,Room,22,16,79,12.26
Bakery,3,Freezer,10,8,30,59.96
Cooked,10,Room,5,36,80,2.73
Cooked,10,Room,13,32,55,3.4
Bakery,1,Fridge,1,39,42,20.52
Cooked,9,Fridge,6,6,73,5.63
Packaged,4,Room,22,27,49,30.02
Bakery,10,Freezer,9,15,34,53.14
Bakery,8,Fridge,23,38,68,13.45
Bakery,3,Freezer,10,36,52,29.42
Cooked,1,Fridge,7,19,76,10.79
Cooked,1,Freezer,18,37,40,6.81
Packaged,1,Freezer,12,21,79,65.91
Cooked,1,Freezer,21,11,71,14.64
Cooked,2,Freezer,13,33,54,6.71
Bakery,3,Fridge,6,5,49,33.59
Cooked,9,Freezer,8,13,56,16.03
Cooked,10,Freezer,3,23,37,16.02
Bakery,10,Room,6,21,83,10.05
